video_id,comment_id,author,text,like_count,published_at,is_reply,total_reply_count,reply_to
EnVab0wAtyQ,Ugy8HBOCsBOWNnfgKIZ4AaABAg,@PaperPlane675,definitely a compliment but I feel like your younger self looks like Billie Joe 😭🙏💓 ITS SO SWEET,0,2024-12-05T21:05:12Z,False,0,
EnVab0wAtyQ,UgwhWA2ZvAvqRE4h_kx4AaABAg,@kingraf8,There is more style in this video than I've ever had in my entire life,0,2024-12-05T14:15:00Z,False,0,
EnVab0wAtyQ,UgyrEqijtfa5tmGCpQB4AaABAg,@ThatOneWeirdKid200,Why the chev boy,0,2024-12-04T23:34:27Z,False,0,
EnVab0wAtyQ,Ugw_eBAX6jk5DCLafwF4AaABAg,@mime4608,does anybody know the song name of the chav phase?,0,2024-12-04T22:14:07Z,False,0,
EnVab0wAtyQ,Ugw4BOJBGU2G8lP3Iuh4AaABAg,@Ash_..11037,CAN WE JUST TALK ABOUT THAT LAST PICTURE,0,2024-12-04T15:05:07Z,False,0,
EnVab0wAtyQ,UgzN6GxvApw5kXGX6Il4AaABAg,@magnarcreed3801,Your mom’s so sweet and supportive.,0,2024-12-04T12:18:40Z,False,0,
EnVab0wAtyQ,UgwbcqsC_1orAqnXi-14AaABAg,@chaoskatzemiyo5621,At least Mom tried 😂❤,0,2024-12-04T07:40:09Z,False,0,
EnVab0wAtyQ,UgzTw7mXxn_Ao7Ubmdp4AaABAg,@dassah-b4t,im not agenst it or anything but you look like exacly like a boy but you were a girl when you  were lil right? im like not agenst it just wanted to know lol,0,2024-12-03T06:26:41Z,False,0,
EnVab0wAtyQ,UgzvnGGFLXQOGsJG9kp4AaABAg,@Jellyfroggie6222hehe,I love that the mom will go and buy clothes for the son every time he changes his style❤,1,2024-12-03T00:54:50Z,False,0,
EnVab0wAtyQ,UgyJcVXfqndJBOzbWGR4AaABAg,@JellyIdiotts,"I can never understand this, i have been wearing the same two styles all my life 😢",0,2024-12-02T22:39:07Z,False,0,
EnVab0wAtyQ,UgzB_wzTiUExzeKVzx94AaABAg,@jsbestoopid,gotta love the three cheers for sweet revenge tie!,0,2024-12-01T17:40:00Z,False,0,
EnVab0wAtyQ,UgxqVvL-099UBkNUYIJ4AaABAg,@jeraiahjemnah5379,The things I do to have this kind of mom (I love my mom but 😭),0,2024-12-01T12:28:15Z,False,0,
EnVab0wAtyQ,Ugxd-9rIXoS8FhxgG1R4AaABAg,@dmitrix_,"""a bloody funeral?!"" Helena reference??!?!?",0,2024-12-01T05:14:26Z,False,0,
EnVab0wAtyQ,UgxfiXRtqFH7CalzZ7V4AaABAg,@KennieKennie70,THE LEWIS ARCS,0,2024-12-01T01:33:44Z,False,0,
EnVab0wAtyQ,UgyTtH2nmnteTe0p7454AaABAg,@SG12-10,lewisssss nooo😂😂,0,2024-11-30T20:59:44Z,False,0,
EnVab0wAtyQ,UgwlY6ciFf-PmKCmpUl4AaABAg,@TishyM,The mothers can't keep up,0,2024-11-30T20:34:49Z,False,0,
EnVab0wAtyQ,UgyjApuFDAPgWwzpAmx4AaABAg,@tysongamerpro1095,What kind of man are you? A Wo-man,0,2024-11-30T18:04:31Z,False,0,
EnVab0wAtyQ,UgzuL39m2tZhOYcrbMN4AaABAg,@leelakrishnan3531,y tf were u so mean to ur mom,0,2024-11-30T07:40:32Z,False,0,
EnVab0wAtyQ,UgzQXX6c7sMfoi1kboZ4AaABAg,@Anthonys_Wifey,Bro is officially Billie Joe Armstrong 2.0❤,0,2024-11-30T02:19:19Z,False,0,
EnVab0wAtyQ,UgxWkeJ2wsLbGqL-uj14AaABAg,@Keithixix,Shes just trying her best 😭😭,0,2024-11-29T19:21:06Z,False,0,
EnVab0wAtyQ,Ugyq2aIlr_wWr9lAJgB4AaABAg,@ashy8766,I love the friend in the second picture 😭😭,0,2024-11-29T15:42:13Z,False,0,
EnVab0wAtyQ,Ugyi1FDth5XCKheXRDV4AaABAg,@ShellyFossilian-official,My mom is like this cuz she knows I like demon slayer and dandy's world,0,2024-11-29T07:41:15Z,False,0,
EnVab0wAtyQ,Ugx48vpz8J0OSkBYvEZ4AaABAg,@JoanWilson-gt9wm,"here in ireland the chav is still strong 
that or being gay and looking like a folk singer with an identity crisis",1,2024-11-29T01:31:04Z,False,0,
EnVab0wAtyQ,Ugy_NwVhAcr3JAooLa94AaABAg,@jwolfpackminecrafter,Love that she tries but she could have asked at least once before buying lol,0,2024-11-28T16:38:40Z,False,0,
EnVab0wAtyQ,Ugx2gUG9xVtOBORO1QR4AaABAg,@uh_soluna,He looks so sweaty in all the photos 😭,0,2024-11-27T20:37:00Z,False,0,
EnVab0wAtyQ,UgwCvk53-iqvGOXLAXN4AaABAg,@joemama1038,still love emo lo the best,0,2024-11-27T02:39:45Z,False,0,
EnVab0wAtyQ,UgwMmlt39lKG8Cr36Jl4AaABAg,@ToastWizard4,Okay but the surfer dude haircut goes hard,0,2024-11-27T02:20:39Z,False,0,
EnVab0wAtyQ,UgyftcS4HOykdxQHpzp4AaABAg,@Space_fishiez,If bro doesnt want that emo necklace I'll gladly take it,1,2024-11-26T18:48:22Z,False,0,
EnVab0wAtyQ,UgykLVQrf5gUSapzcER4AaABAg,@Recklesscrybaby,How very 2006 of you,1,2024-11-26T17:29:05Z,False,0,
EnVab0wAtyQ,Ugw71zp-3nTvO0_palJ4AaABAg,@penandpapercliche,Aww cute!,0,2024-11-26T15:35:22Z,False,0,
EnVab0wAtyQ,UgwXQyG5z6UMOsM4gbp4AaABAg,@flickerinq,BJA FIT OMG,0,2024-11-26T11:54:04Z,False,0,
EnVab0wAtyQ,UgyCHgiDru-3YY9jv7F4AaABAg,@CamrenEmmons,He looks like white Michael Jackson 💀💀,0,2024-11-25T22:55:04Z,False,0,
EnVab0wAtyQ,Ugz3DlSuhJN-JYjwFe14AaABAg,@justcallme_Kisha,I wish i have a mom like her😢,0,2024-11-25T08:12:44Z,False,0,
EnVab0wAtyQ,UgxUshyIfkGq8MdtnyF4AaABAg,@Sydney-w5p,"Yall what i had no idea he was trans [he, right? Please tell me if I got it wrong, I will fix it]",0,2024-11-25T04:51:26Z,False,0,
EnVab0wAtyQ,UgyJoc-dVxo5nBCY0DV4AaABAg,@Sydney-w5p,Im literally DYING the photo evidence is too much 😂😂😂,0,2024-11-25T04:50:30Z,False,0,
EnVab0wAtyQ,UgzfXJ9uNOdbSTh4ort4AaABAg,@Goodnightkio,was the first phase based off of 2004 gerard way by any chance,0,2024-11-24T21:01:22Z,False,0,
EnVab0wAtyQ,UgzFNQN9G71pTrQ6ajJ4AaABAg,@syrusangi8743,She's trying GODDAMMIT!😆,0,2024-11-24T14:56:10Z,False,0,
